Date,Product,Qty,Price,Salesperson
08/05/26,Pen,5,15,Ravi
09/05/26,pen,20,8,aman
28/05/26,Pen,1,8,Ravi
15/05/26,marker,1,15,aman
27/05/26,Notebook,15,20,Aman
11/05/26,pencil,10,20,Ravi
14/05/26,Pencil,2,8,Karan
07/05/26,Pencil,10,20,Aman
30/05/26,marker,2,50,Aman
19/05/26,Eraser,10,15,Aman
03/05/26,Notebook,5,8,Ravi
07/05/26,pencil,5,60,Priya
11/05/26,Pencil,10,15,Priya
05/05/26,Eraser,3,15,Ravi
30/05/26,pencil,5,15,Priya
04/05/26,Notebook,1,25,Karan
18/05/26,pen,4,25,Ravi
01/06/26,pencil,15,10,Priya
09/05/26,Notebook,20,20,aman
28/05/26,Eraser,12,25,Ravi
09/05/26,marker,15,8,Aman
08/05/26,PEN,3,50,aman
05/05/26,pencil,12,60,aman
17/05/26,marker,1,8,aman
18/05/26,Pencil,2,20,Karan
11/05/26,Marker,1,20,aman
12/05/26,marker,2,20,aman
13/05/26,PEN,10,10,aman
03/06/26,Pen,10,60,Aman
08/05/26,Pencil,5,15,Aman
16/05/26,Eraser,2,8,Karan
05/05/26,marker,3,10,Karan
11/05/26,NOTEBOOK,20,50,Ravi
04/06/26,Notebook,5,50,Priya
29/05/26,marker,15,8,Ravi
15/05/26,pen,10,5,aman
15/05/26,Eraser,4,5,Aman
04/05/26,Notebook,2,5,Priya
05/05/26,marker,4,20,Karan
14/05/26,marker,3,60,Ravi
31/05/26,pencil,4,8,Aman
28/05/26,Pencil,12,50,Karan
04/05/26,pen,1,50,Priya
07/05/26,Notebook,4,15,aman
29/05/26,PEN,12,10,Priya
30/05/26,Notebook,2,60,aman
07/05/26,Pen,20,5,Aman
16/05/26,PEN,12,60,Karan
14/05/26,pencil,1,10,Karan
01/05/26,pencil,5,60,Priya
28/05/26,marker,15,10,Ravi
19/05/26,Notebook,1,5,Priya
04/05/26,Pen,15,10,Aman
02/06/26,pen,3,8,aman
05/05/26,Notebook,12,8,aman
16/05/26,Eraser,1,8,Karan
03/06/26,Pencil,5,15,Priya
16/05/26,NOTEBOOK,12,10,Priya
30/05/26,Pencil,2,5,Karan
07/05/26,pen,20,15,aman
17/05/26,PEN,10,8,Ravi
24/05/26,NOTEBOOK,3,60,aman
20/05/26,Eraser,20,5,aman
20/05/26,pen,3,20,Aman
07/05/26,marker,3,20,Priya
14/05/26,Pencil,4,20,aman
01/06/26,NOTEBOOK,1,8,Karan
18/05/26,Pen,1,25,Ravi
17/05/26,PEN,15,50,aman
01/05/26,pen,2,10,aman
03/05/26,Pencil,20,10,Karan
09/05/26,Pen,5,25,Aman
23/05/26,Notebook,4,8,Priya
27/05/26,Eraser,3,15,Ravi
12/05/26,pencil,1,10,Priya
27/05/26,Notebook,5,10,Aman
25/05/26,Pen,15,15,Ravi
30/05/26,Pencil,5,15,Ravi
02/05/26,Notebook,12,25,Priya
05/05/26,NOTEBOOK,10,50,aman
22/05/26,Pen,2,20,Ravi
17/05/26,Pen,2,50,Priya
21/05/26,pencil,20,8,Karan
13/05/26,NOTEBOOK,1,50,Aman
03/06/26,marker,4,25,Karan
05/05/26,Pencil,10,8,Priya
02/06/26,NOTEBOOK,12,25,Karan
19/05/26,marker,3,15,Karan
25/05/26,PEN,5,50,aman
01/05/26,NOTEBOOK,5,15,Karan
21/05/26,Marker,15,60,Ravi
02/06/26,Marker,3,8,Priya
02/06/26,Eraser,10,8,Ravi
20/05/26,Notebook,4,10,Aman
03/05/26,Notebook,15,8,Karan
27/05/26,Eraser,4,50,Karan
26/05/26,Notebook,3,5,Aman
28/05/26,Notebook,3,60,Aman
16/05/26,pen,15,10,Karan
03/06/26,marker,10,60,aman
02/06/26,pencil,20,60,Ravi
31/05/26,Marker,5,15,Priya
03/06/26,Marker,4,20,Karan
05/05/26,NOTEBOOK,4,20,Priya
21/05/26,marker,2,10,Ravi
15/05/26,pencil,3,15,Aman
27/05/26,pencil,10,60,Karan
04/05/26,Notebook,12,50,aman
02/05/26,Eraser,12,60,Aman
23/05/26,NOTEBOOK,12,50,aman
04/06/26,Eraser,4,60,Ravi
18/05/26,pencil,15,5,Karan
22/05/26,pencil,3,60,Ravi
04/06/26,Pen,12,5,Aman
28/05/26,PEN,15,10,Aman
17/05/26,pencil,10,15,Karan
21/05/26,Pencil,12,20,Karan
17/05/26,pen,15,5,aman
04/05/26,Pencil,4,8,Aman
02/05/26,Notebook,4,5,aman
08/05/26,Pen,5,15,Ravi
09/05/26,pen,20,8,aman
28/05/26,Pen,1,8,Ravi
15/05/26,marker,1,15,aman
27/05/26,Notebook,15,20,Aman
